SEXO,EDAD,NOM_ENT,NOM_MUN,BP1_1,BP1_2_01,BP1_2_03,BP1_4_1,BP1_4_2,BP1_4_3,BP1_4_4,BP1_4_5,BP1_4_6,BP1_4_7,BP1_4_8,BP1_5_1,BP1_5_2,BP1_6_4,BP2_2_03,BP2_2_11,BP2_2_14,BP3_1_05,BP3_1_07,BP3_1_08,BP3_1_10,BP3_1_11,BP3_1_13,BP3_1_14,BP4_1_1,BP4_1_2,BP4_1_3,BP4_1_7,BP4_1_8
2,65,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,2,2,1,1,2,2,1,1,2,0,0,0,0,0,1,1,1,0,1,2,2,2,2,2
2,72,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,2,1,1,1,2,2,3,1,2,0,1,0,1,1,1,1,1,0,1,2,2,2,2,1
2,61,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,1,1,1,2,1,3,1,2,1,1,0,0,1,1,1,1,1,1,2,2,2,2,2
1,22,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,0,0,0,0,0,1,1,1,0,2,2,2,2,2
2,46,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,2,1,2,2,3,2,2,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2
1,60,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,,,0,1,1,0,0,1,1,2,2,2,2,2
1,27,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,1,1,1,1,1,1,2,2,1,1,2,,,,1,0,1,0,0,0,0,2,2,2,2,2
1,65,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,2,2,2,2,2,2,2,2,2,,,,0,0,0,1,0,0,0,2,2,2,2,2
2,64,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,2,2,2,2,2,2,2,2,2,,,,1,0,1,1,0,0,0,2,2,2,2,2
1,68,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,0,1,0,2,2,2,2,2
1,33,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,1,1,1,0,0,0,2,2,2,2,2
2,21,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,1,2,2,2,2,2,1,1,2,,,,0,0,0,1,0,0,0,2,2,2,2,2
1,50,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,1,1,2,2,2,2,1,1,1,0,0,0,1,0,0,1,1,1,1,2,2,2,2,2
2,42,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,2,2,2,2,2,2,1,1,2,,,,0,0,1,1,0,0,1,2,2,2,2,2
1,43,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,0,0,0,1,1,1,1,1,1,2,2,2,2,2
2,64,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,1,1,1,2,2,2,2,1,1,1,0,0,0,0,0,1,1,1,0,1,2,2,2,2,2
2,24,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,0,0,0,0,1,1,1,0,0,1,2,2,1,1
1,33,CIUDAD DE MEXICO,AZCAPOTZALCO,1,2,2,1,2,1,1,1,1,2,2,3,1,2,,,,0,0,0,1,1,1,1,2,2,2,2,2
2,30,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,1,2,1,2,2,2,1,1,1,0,0,1,0,0,0,1,0,0,1,1,2,2,2,1
1,54,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,3,2,2,,,,1,0,0,1,1,0,0,2,2,2,2,2
1,59,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,0,0,0,0,0,1,0,0,0,2,2,2,2,2
2,45,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,1,2,2,2,1,1,2,,,,0,0,1,1,1,0,0,2,2,2,2,2
2,52,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,0,1,1,0,0,2,2,2,2,2
1,36,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,2,2,2,2,2,2,2,3,2,,,,0,0,0,0,0,0,0,2,2,2,2,2
1,49,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,1,2,1,1,2,2,2,1,1,0,0,0,1,0,0,1,0,0,0,2,2,2,2,2
1,66,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,2,1,2,2,1,3,2,2,1,0,0,1,0,1,1,0,0,1,2,2,2,2,2
1,66,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,1,1,1,2,1,2,2,1,1,2,1,0,0,0,0,0,1,0,0,1,2,2,2,2,2
2,60,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,2,1,2,1,2,2,1,2,2,,,,0,0,0,1,0,0,0,2,2,2,2,2
1,64,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0,2,2,2,2,2
1,70,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,1,2,1,1,2,2,3,2,2,0,0,0,0,0,1,1,0,0,0,2,2,2,2,2
2,58,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0,0,1,2,2,2,2,2
2,49,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1,0,0,0,1,0,1,1,1,1,2,2,2,2,2
2,37,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,1,2,2,2,2,2,2,2,2,,,,0,0,0,1,0,0,0,2,2,2,2,2
2,72,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,0,0,1,0,0,1,1,1,0,2,2,2,2,2
1,80,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,2,1,2,2,2,2,2,2,2,2,,,,1,0,0,1,0,1,0,2,2,2,2,2
1,48,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2
1,28,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,2,1,1,1,2,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2
2,54,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,1,2,2,1,1,2,2,1,1,2,0,1,0,1,1,1,1,0,0,1,2,2,2,2,2
2,49,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,2,2,2,1,2,2,2,2,2,,,,1,1,1,1,0,1,1,2,2,2,2,2
1,47,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,1,1,1,2,1,1,1,2,,,,1,1,1,1,1,1,1,2,2,2,2,2
2,62,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,2,2,1,1,2,2,3,2,2,,,,0,0,0,0,0,0,0,2,2,2,2,2
2,75,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,2,2,1,1,2,2,2,2,2,,,,0,0,0,1,1,1,0,2,2,2,2,2
2,73,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,2,1,1,1,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
2,75,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,2,1,1,1,1,2,2,1,2,2,,,,0,0,0,0,0,0,0,2,2,2,2,2
1,54,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,2,2,1,1,2,2,1,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2
2,79,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,1,1,2,2,1,1,2,2,3,3,2,,,,0,0,0,1,0,0,1,2,2,2,2,2
2,25,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,2,2,2,2,2
1,70,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2
1,80,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,1,2,1,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
1,54,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,2,2,1,2,2,2,1,2,2,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2
2,66,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,2,1,1,2,2,2,2,2,0,0,0,0,0,0,1,0,0,1,2,2,2,2,2
1,60,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,1,0,0,1,1,1,1,1,2,2,2,2,2
2,25,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,1,1,1,1,2,2,2,2,2
2,27,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,2,2,1,1,2,1,1,3,2,0,0,0,1,0,0,1,0,1,0,2,2,2,2,2
2,31,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,1,2,2,2,2,2,1,1,2,,,,1,1,0,1,1,1,1,2,2,2,2,2
1,42,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,0,0,0,1,1,1,1,1,2,2,2,2,2
1,65,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,1,2,1,2,1,2,,,,0,0,0,1,0,0,1,2,2,2,2,2
2,51,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2,2,2,2,2
2,69,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,1,1,1,1,1,2,2,1,1,1,2,,,,0,1,0,1,1,1,1,2,2,2,2,2
2,44,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2
1,51,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,0,0,0,0,0,1,1,2,2,2,2,2
1,98,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,0,1,1,1,2,2,2,2,2
2,63,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,1,2,2,2,2,2,1,2,2,,,,1,0,0,0,0,1,1,2,2,2,2,2
1,59,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,2,1,2,2,2,2,2,2,2,1,,,,0,0,0,1,1,0,0,2,2,2,2,2
2,35,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,1,2,1,1,2,1,2,2,2,,,,1,1,1,1,0,0,1,2,2,2,2,2
2,78,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,2,2,2,2,2
1,71,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,1,2,1,2,2,2,2,2,2,,,,0,0,1,1,0,0,0,2,2,2,2,2
1,62,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0,2,2,2,2,2
1,31,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,2,1,2,2,1,2,1,2,0,1,0,0,1,0,1,0,1,0,2,2,2,2,2
1,50,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,1,0,0,1,1,0,1,2,2,2,2,2
2,30,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,2,1,2,1,2,2,2,2,2,2,3,1,,,,1,0,1,1,0,1,0,1,2,2,2,2
1,54,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,2,2,2,2,2,2,1,1,2,0,0,0,1,0,0,1,1,0,0,2,2,2,2,2
2,98,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,1,0,1,1,0,1,1,1,2,1,1,1
2,66,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,2,1,2,2,2,2,2,1,2,2,,,,1,0,0,1,1,1,1,2,2,2,2,2
2,25,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,1,1,1,1,2,2,1,2,1,2,3,2,,,,1,0,0,1,1,0,0,1,2,2,2,2
1,57,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,1,2,1,1,2,1,2,1,1,,,,0,0,0,1,0,0,1,2,2,2,2,2
2,54,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,0,1,0,1,1,1,1,1,2,2,2,2
2,70,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,1,0,0,0,0,1,1,0,0,2,2,2,2,2
2,83,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,2,2,1,1,2,2,2,2,2,2,3,2,1,1,0,0,0,1,0,0,0,1,2,2,2,2,2
2,56,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,0,1,1,1,1,1,1,2,2,1,2
1,66,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,2,1,2,2,2,1,2,1,,,,1,1,0,1,1,1,1,2,2,2,2,2
2,44,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,1,1,2,1,2,2,2,2,1,2,,,,0,0,0,0,0,0,0,2,2,2,2,2
1,53,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,1,2,2,2,2,2,1,2,2,,,,1,0,0,0,0,0,0,2,2,2,2,2
1,48,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,1,2,2,2,2,2,1,2,2,0,0,0,1,0,0,1,1,0,0,2,2,2,2,2
1,42,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,1,2,2,2,2,2,2,2,2,,,,1,0,0,1,1,0,0,2,2,2,2,2
2,34,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,1,1,2,2,2,2,1,2,2,,,,1,0,1,1,1,1,0,1,2,2,2,2
2,23,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,0,0,0,0,1,1,0,0,0,1,2,2,1,2
1,21,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,2,2,2,2,2,2,2,2,2,,,,0,1,1,1,1,0,0,2,2,2,2,2
1,61,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,2,2,2,2,2,2,2,2,2,0,0,0,1,0,0,1,0,0,0,2,2,2,2,2
1,48,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,2,2,2,2,2,2,2,1,2,,,,1,0,0,1,0,0,0,2,2,2,2,2
1,45,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,0,1,0,1,1,1,0,0,0,2,2,2,2,2
1,61,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,2,2,2,2,2,2,2,2,,,,0,0,0,1,1,0,0,2,2,2,2,2
1,45,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,0,0,1,0,0,1,1,0,0,2,2,2,2,2
2,73,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,0,0,0,1,0,0,0,2,2,2,2,2
2,28,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,2,1,2,1,2,2,1,1,2,0,0,0,1,0,0,1,1,1,0,2,2,2,2,2
1,33,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,2,1,1,2,2,1,2,2,1,0,0,1,0,0,1,1,1,0,2,2,2,2,2
1,66,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,2,1,2,2,1,2,2,1,2,2,,,,0,0,0,1,0,0,1,2,2,2,2,2
1,32,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,2,1,1,1,1,2,2,1,3,2,,,,1,0,0,1,1,0,0,2,2,2,2,2
1,38,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,0,0,1,0,0,0,0,0,1,2,2,2,2,2
1,53,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,2,1,2,2,2,2,2,1,2,,,,0,0,0,0,0,0,0,2,2,2,2,2
2,53,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,1,1,1,1,1,1,2,2,2,2,2,,,,0,0,0,0,0,0,0,2,2,2,2,2
2,65,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,0,1,0,1,1,1,1,1,2,2,2,2,2
2,54,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,2,1,2,2,1,2,2,1,1,2,,,,1,0,0,1,1,1,1,2,2,2,2,2
1,56,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,2,2,2,2,1,2,2,2,2,2,,,,1,0,0,1,0,0,0,2,2,2,2,2
2,69,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,1,2,2,2,1,2,2,2,1,2,0,0,0,0,0,1,1,0,0,1,2,2,2,2,2
2,41,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2
1,24,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,1,2,1,1,2,1,2,2,1,1,2,1,0,0,0,0,1,1,0,0,0,2,2,2,2,1
1,76,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,1,1,2,2,3,2,2,,,,0,0,1,1,1,1,1,2,2,2,2,2
2,42,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,0,0,0,0,0,1,1,0,0,2,2,2,2,2
2,67,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,2,1,2,1,2,2,2,2,2,,,,0,0,1,1,1,1,0,2,2,2,2,2
2,21,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,2,2,2,2,2,2,2,1,2,0,1,0,1,0,1,1,0,1,0,2,2,2,2,2
2,30,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2
2,63,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,0,0,1,1,1,1,1,1,0,2,2,2,2,2
1,18,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,1,2,2,2,2,2,2,,,,0,0,0,0,0,1,0,2,2,2,2,2
2,52,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,2,2,2,2,2,2,1,1,2,0,0,0,0,0,0,1,1,0,0,2,2,2,2,2
1,40,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,1,1,2,1,2,2,2,1,2,0,0,0,1,1,1,1,1,1,0,2,2,2,2,2
2,46,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,2,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2
2,34,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,2,1,2,2,1,1,2,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2
2,48,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,2,1,2,2,1,2,2,1,1,2,0,1,0,1,0,1,1,1,1,1,2,2,2,2,2
2,65,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,2,1,1,2,1,1,1,2,2,1,2,2,,,,0,0,1,1,0,1,1,2,2,2,2,2
2,22,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,2,2,1,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2
2,52,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,2,1,1,2,2,2,1,1,2,,,,1,1,1,1,1,1,1,1,2,2,2,2
1,53,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2
1,41,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,2,1,1,1,2,2,2,1,2,1,0,0,0,0,0,1,0,0,0,2,2,2,2,2
1,38,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,1,1,1,2,1,1,2,2,2,2,2,,,,1,0,0,1,1,0,0,2,2,2,2,2
2,45,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,1,1,2,2,1,2,1,0,0,0,0,0,1,1,0,0,0,2,2,2,2,2
2,81,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,2,2,1,2,2,2,1,1,2,,,,0,0,0,1,0,1,1,2,2,2,2,2
2,48,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,0,0,0,1,0,1,0,1,1,2,2,2,2,2
1,67,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,1,2,2
1,51,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,2,1,1,2,2,1,1,2,1,0,1,0,0,1,1,1,1,1,2,2,2,2,2
1,39,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,2,2,1,2,1,2,1,2,1,1,2,2,0,0,0,1,0,1,1,1,1,1,2,2,2,2,2
1,41,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,2,1,1,1,1,2,3,2,2,0,0,0,1,0,0,1,0,0,0,2,2,2,2,2
2,46,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,1,1,1,1,2,1,2,2,2,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2
2,34,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,0,0,0,0,1,1,1,1,1,2,2,2,2,2
1,21,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,2,1,1,2,1,2,2,2,1,1,2,,,,0,0,0,1,0,0,0,2,2,2,2,2
1,43,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,1,1,1,1,2,2,1,1,2,0,0,0,1,0,1,1,0,1,0,2,2,2,2,2
1,22,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,1,0,1,1,0,1,1,2,2,2,2,2
2,32,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,1,2,2,2,2,2,1,2,2,0,0,0,1,0,1,1,0,0,0,2,2,2,2,2
1,33,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,2,1,2,2,2,2,2,2,2,2,,,,1,1,1,1,1,1,1,2,2,2,2,2
2,46,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,0,0,0,1,1,1,1,2,2,2,2,2
1,38,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,2,2,1,2,2,1,1,2,2,,,,1,0,0,1,1,0,0,2,2,2,2,2
1,27,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,2,2,2,1,1,1,2,0,1,0,1,1,1,1,1,1,1,2,2,2,2,2
2,35,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,1,1,2,1,1,1,2,0,1,0,1,1,1,1,1,1,1,1,2,2,2,2
1,30,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,0,0,1,0,0,0,0,0,0,2,2,2,2,2
2,18,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,0,1,1,1,0,1,2,2,2,2,2
2,46,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,2,2,2,2,2,2,2,2,2,,,,0,0,0,1,0,0,0,2,2,2,2,2
2,32,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,0,0,0,0,0,1,1,0,1,2,2,2,2,2
2,34,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,1,2,1,2,2,2,1,2,2,,,,0,0,0,1,1,1,0,1,1,1,1,2
2,24,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2
2,80,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,1,0,0,1,0,0,0,2,2,2,2,2
2,65,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,,,1,0,0,1,1,0,0,2,2,2,2,2
1,69,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,,,1,0,0,0,0,0,0,2,2,2,2,2
2,56,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,2,1,1,2,2,1,2,1,0,0,0,1,0,1,1,1,1,1,1,2,2,2,2
1,58,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,1,1,2,2,1,2,2,2,2,3,2,,,,0,0,0,1,0,0,0,2,2,2,2,2
2,47,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,2,1,1,1,2,2,2,2,2,2,2,1,,,,1,0,0,1,0,0,0,1,2,2,2,2
1,39,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,2,2,2,2,2,2,2,2,0,0,0,1,1,0,1,1,1,1,2,2,2,2,2
1,78,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,0,0,0,0,0,0,0,2,2,2,2,2
2,34,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,0,0,0,1,1,0,1,1,1,1,2,1
